id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtm7vkmb13urpv5jyhkiiuqy","Delvaux","DELVAUX","UNKNOWN","delvaux.com","Richemont","41","41"
"cmtkdvuio1rpbnf2bltfbynz2","DEPECH'MODE","DEPECH_MODE","UNKNOWN","depechmode-paris.com","","6","12"
"cmtm7b5zo0rubpv5jrpt4diu2","dept","DEPT","UNKNOWN","","","0","0"
"cmtkdw1yq1tymnf2bpa2buiu8","DEVERNOIS","DEVERNOIS","UNKNOWN","devernois.fr","","0","1"
"cmtnac1py2slpqq5lh2i6um91","DEVRED 1902","DEVRED_1902","UNKNOWN","devred.com","","1","1"
"cmtk1wy4r0012nv2b3e8ive7o","DFS","DFS","UNKNOWN","dfs.com","LVMH","4","4"
"cmtkdw25v1u16nf2bhe67lj18","DIAPERIS","DIAPERIS","UNKNOWN","","","0","1"
"cmtlygh4l01yyqf5kgz19cyvb","DiDi, conduite autonome","DIDI_OUT_OF_SECTOR","OTHER","","","0","9"
"cmtlq3u221lvbpg2bi5cppnwo","DIGIWEST AGENCY","DIGIWEST_AGENCY","UNKNOWN","","","0","1"
"cmtlykp600auoqf5kc4pmoaql","Dim","DIM","UNKNOWN","dim.com","","47","47"
"cmtkdvxw01su3nf2but3bkw0q","DINH VAN","DINH_VAN","UNKNOWN","","","1","1"
"cmtkdvyuw1t4mnf2bpbim5cwq","DINH VAN PARIS","DINH_VAN_PARIS","UNKNOWN","dinhvan.com","","1","1"
"cmtk1xe9n01a0nv2b2p3qyil0","Diptyque","DIPTYQUE","UNKNOWN","diptyqueparis.com","","154","155"
"cmtlyj6mk07leqf5kn4ipgxhk","Diptyque paris","DIPTYQUE_PARIS","UNKNOWN","diptyqueparis.com","","27","27"
"cmtmkagpb2jqgpv4x5iufop2g","DIVPROTOCOL","DIVPROTOCOL","UNKNOWN","","","0","1"
"cmtkdw0g31tilnf2b8781vbza","DJULA","DJULA","UNKNOWN","djula.fr","","5","5"
"cmtkdvxrm1ssfnf2b3cbw0xug","DM MEDIA INTERNATIONAL","DM_MEDIA_INTERNATIONAL","UNKNOWN","","","0","0"
"cmtlyeon9001eqf5kzysaa48a","dna","DNA","UNKNOWN","dna.fi","","1","1"
