nom	site	bucket	detail
halsduk by esmee	https://www.halsdukbyesmee.nl/	alive	200
glamsquad	https://glamsquad.com/	alive	200
graine de pastel	https://grainedepastel.com/	alive	200
joyn	https://www.joynbags.com/	alive	200
fae	https://www.fae.house/	alive	200
citron vert	https://citron-vert.fr/	alive	200
jack59	https://www.jack59.ca/	alive	200
hasuna	https://hasuna.com/	alive	200
judas sinned	https://judassinnedclothing.com/	http-dead	404
heligrae	https://heligrae.com/	alive	200
foreva	http://www.foreva.pt/	alive	200
gum	http://www.gum.ru/	alive	200
hanesbrands	http://www.hanes.com/	blocked	403
hally hair	http://hallyhair.com/	alive	200
form and fold	https://formandfold.com/	alive	200
jantzen	https://jantzen.com/	alive	200
harunobumurata	https://harunobumurata.com/	alive	200
earth music and ecology	https://stripe-club.com/brand/earth1999/	alive	200
h samuel	https://www.hsamuel.co.uk/	alive	200
grupo famsa	https://www.famsa.com/	timeout	
fuzzi	https://www.fuzzi.com/en/	timeout	
harbour 2nd	https://www.harbour2ndshop.de/	alive	200
jade swim	https://jadeswim.com/	alive	200
heidemann	https://heideman.de/	alive	200
elie tahari	https://www.elietahari.com/	alive	200
kari	https://kari.com/ru/	blocked	403
fernando jorge	https://www.fernandojorge.co.uk/	alive	200
fiveunits	https://www.fiveunits.com/	alive	200
hechter paris	https://www.daniel-hechter.fr/	alive	200
ethyst® skincare	http://ethyst.com/	alive	200
etnia barcelona	https://www.etniabarcelona.com/us/en	alive	200
kuwaii	https://kuwaii.com.au/	alive	200
enamel	https://enamel.dk/	alive	200
j.c. rags	https://jcrags.com/	alive	200
manuele ficano	https://www.manuele-ficano.com/	alive	200
elias rumelis	https://elias-rumelis.com/	alive	200
eastermia	https://www.eastermia.com/	http-dead	404
gently radiant skin	https://www.gentlyradiantskin.com/	alive	200
dl sport	https://www.dlsport.it/	alive	200
ivy & elder	https://ivyandelder.com/	alive	200
ecoalf	https://ecoalf.com/	alive	200
footnotes	https://www.footnotes.nl/	alive	200
furfur	https://furfurfur.jp/	alive	200
fus-fá-yo	https://www.fusfayo.com/	alive	200
hunting season	https://www.hunting-season.com/	alive	200
jlo beauty	https://www.jlobeauty.com/	alive	200
john varvatos	https://www.johnvarvatos.com/	blocked	403
g-star raw	https://www.g-star.com/	alive	200
hamilton and hare	https://www.hamiltonandhare.com/	http-dead	402
gabor	https://www.gabor.de/	alive	200
fatima mohsin	https://www.fatimamohsin.com/	http-dead	404
faithfull the brand	https://www.faithfullthebrand.com/	alive	200
justine clenquet	https://www.justineclenquet.com/	alive	200
jasper hearts wren	http://www.jasperheartswren.com/	alive	200
esica	https://esica.shop/	alive	200
freckles skincare	https://itsfreckles.com/	alive	200
ch!iii	https://chiiiibag.com/	alive	200
g point	https://gpoint.bg/	timeout	
geggamoja	https://www.geggamoja.com/	alive	200
gentiluomo	https://gentiluomo.com/	alive	200
giomila	https://giomila.com/en/	net-error	UND_ERR_SOCKET
first resort by ramola bachchan	https://www.firstresort.in/	alive	200
extraaf	https://www.extraaf.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
krete	http://www.krete.club/	alive	200
colors of california	https://www.colorsofcalifornia.it/	alive	200
fragonard perfumes	https://www.fragonard.com/	alive	200
episode	https://episode.eu/	alive	200
cosmoparis	https://www.cosmoparis.com/	alive	200
grunt	https://www.grunt.dk/	alive	200
glamazon beauty	https://glamazonbeauty.com/	alive	200
figue	https://figue.com/	http-dead	404
kinky octopus	https://www.kinkyoctopus.com/	http-dead	423
in corio	https://www.incorio.com/	alive	200
huella	https://www.huellabeauty.com/	alive	200
ginger & smart	https://www.gingerandsmart.com/	dns-dead	no A/AAAA @1.1.1.1
fydelity	https://www.fydelitybags.com/	net-error	ECONNREFUSED
ernest jones	https://www.ernestjones.co.uk/	alive	200
genabelle	https://genabelle.jp/	alive	200
ella baché	http://www.ellabache.com/	alive	200
giyi	https://www.giyiworld.com/en/	http-dead	404
ella+mila	https://www.ellamila.com/	alive	200
earthly body	http://earthlybody.com/	alive	200
elendeek	https://elendeek.com/	alive	200
florame	http://www.florame.com/	alive	200
hipanema	https://hipanema.com/	alive	200
jim rickey	https://www.jimrickey.com/	alive	200
junona	https://junona.bg/	alive	200
hopaal	https://hopaal.com/	alive	200
goodbaby	https://www.goodbaby.com/en	blocked	403
comfy copenhagen	https://www.comfycopenhagen.com/	alive	200
kalaurie	https://kalaurie.com.au/?oid=300&affid=1&source_id=GoY-rating&sub1=brandpage	alive	200
eko-banz	https://ekobanz.com/	alive	200
fabio rusconi	https://www.fabiorusconi.it/	tls-error	CERT_HAS_EXPIRED
divine beauty brand	https://divinebeautybrand.com/	alive	200
hereness	https://hereness.jp/	alive	200
davida cashmere	https://www.davida.se/	alive	200
human made	https://humanmade.jp/	blocked	403
g-shock	https://www.g-shock.eu/	alive	200
f426	http://www.f426.net/page/contact/contact.php#?utm_source=GoodOnYou%20App&utm_medium=Referral	net-error	Response does not match the HTTP/1.1 protocol (Mis
giulia	https://giulia-shoes.com/	alive	200
gloria!gloria!	https://www.gloria-gloria.com/	http-dead	404
fitz & huxley	https://www.fitzandhuxley.com/	alive	200
klenoty aurum	https://www.klenotyaurum.cz/	alive	200
dr. loretta	http://www.drloretta.com/	alive	200
gog atelier	https://www.gogatelier.com/	dns-dead	no A/AAAA @1.1.1.1
inh hair	https://inhhair.com/	alive	200
