maison	kind	config	board_name	jobs	sample_titles	sample_url	reason
Jonathan Simkhai	personio	{"subdomain":"jonathan","host":"jonathan.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://jonathan.jobs.personio.de/job/1781672	no board name to compare
Josh Rosebrook	personio	{"subdomain":"josh","host":"josh.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://josh.jobs.personio.de/job/1587184	no board name to compare
JOSH V	personio	{"subdomain":"josh","host":"josh.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://josh.jobs.personio.de/job/1587184	no board name to compare
Jupe by Jackie	lever	{"site":"jupe"}		2	🍭👾 UX/UI DIGITAL PRODUCT DESIGNER | 🏗 Manufacturing Process Engineer	https://jobs.lever.co/jupe/d7c3888f-09bf-40d3-9ab2-7066ea16cbe6	no board name to compare
Kaiko	personio	{"subdomain":"kaiko","host":"kaiko.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kaiko.jobs.personio.de/job/1436787	no board name to compare
Kate Garey	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Lee	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Sheridan	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Spade	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Spade New York	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Sylvester	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate Quinn	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kate's Magik	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
KATE BARTON	personio	{"subdomain":"kate","host":"kate.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kate.jobs.personio.de/job/2766202	no board name to compare
Kevin Jewelers	personio	{"subdomain":"kevin","host":"kevin.jobs.personio.de"}		3	General Application | SEO Marketing Manager | Social Media (Working Student)	https://kevin.jobs.personio.de/job/2013560	no board name to compare
