Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"BERENICE",1,"FASHION","",""
"Versace Austria",1,"RETAIL","",""
"LEMAIRE",1,"FASHION","",""
"J Choo (Switzerland)",1,"RETAIL","",""
"VOILA ST BARTH",1,"FASHION","",""
"MGI Distribution Pte",1,"RETAIL","",""
"éclipse",1,"RETAIL","",""
"SOPHIE D'AGON",1,"FASHION","",""
"UNODE50",1,"FASHION","",""
"SOPHIE MALLEBRANCHE®",1,"FASHION","",""
"Kering Group Operations & Technologies",1,"LUXURY","",""
"HÉROÏNES !",1,"FASHION","",""
"Jimmy Choo Hungary KFT",1,"RETAIL","",""
"JS MILLENIUM ENVIES",1,"FASHION","",""
"ARLETTIE",1,"FASHION","",""
"APOSTROPHE",1,"FASHION","",""
"THE KORNER",1,"FASHION","",""
"Cove",1,"RETAIL","",""
"MOLLY BRACKEN",1,"FASHION","",""
"STEAMONE",1,"FASHION","",""
"Rosae Paris",1,"RETAIL","",""
"PATTERN",1,"RETAIL","",""
"LOSANJE",1,"FASHION","",""
"MARTHA",1,"RETAIL","",""
"Nooānce",1,"RETAIL","",""
"MANGO BULGARIA EOOD",1,"FASHION","",""
"Amantys",1,"RETAIL","",""
"Chandon",1,"LUXURY","",""
"Brut Clothing",1,"RETAIL","",""
"Inuwet",1,"RETAIL","",""
"ISOTONER",1,"RETAIL","",""
"PETIT PICOTIN",1,"RETAIL","",""
"Cuyana",1,"RETAIL","",""
"Laboté",1,"RETAIL","",""
"Velvet Canyon",1,"RETAIL","",""
"Oden",1,"RETAIL","",""
"Call It By Your Name",1,"RETAIL","",""
"FRNCH",1,"RETAIL","",""
"Kerzon",1,"RETAIL","",""
"Trone",1,"RETAIL","",""
"Vanessa Wu",1,"RETAIL","",""
"YAY",1,"RETAIL","",""
"Jérôme Dreyfuss",1,"RETAIL","",""
"RealSelf",1,"RETAIL","",""
"Tropicfeel",1,"RETAIL","",""
"Sacoor Brothers",1,"RETAIL","",""
"Zen Collective",1,"RETAIL","",""
"Zeta Shoes",1,"RETAIL","",""
"Samson",1,"RETAIL","",""
"Blissim",1,"RETAIL","",""
"Bogoods",1,"RETAIL","",""
"SEPTIÈME LARGEUR CHAUSSEUR",1,"FASHION","",""
"Point Zero",1,"RETAIL","",""
"Nike 360 (Hong Kong)",1,"RETAIL","",""
"CONSCIOUS LOVE",1,"FASHION","",""
"NIKE Brasil Marketing",1,"RETAIL","",""
"Broporma Retail Portugal",1,"RETAIL","",""
"MIDNIGHT THEORY",1,"FASHION","",""
"NOUKTAH",1,"FASHION","",""
"MPTW INTERNATIONAL",1,"FASHION","",""
"FATHER AND SONS",1,"FASHION","",""
"PR CONSULTING PARIS",1,"FASHION","",""
"KSI MODE",1,"FASHION","",""
"ATELIER DIANA MARTINEZ",1,"FASHION","",""
"AKHO",1,"FASHION","",""
"MIMI & COOKIE",1,"FASHION","",""
"Nike China Holding HK Limited (Macau Branch)",1,"RETAIL","",""
"CROSSMODE PARIS",1,"FASHION","",""
"NIKE Retail B.V. Norway",1,"RETAIL","",""
"Lynch DC / Cust Care J.Crew",1,"RETAIL","",""
"JACK GOMME",1,"FASHION","",""
"SH PARIS",1,"FASHION","",""
"Coach Stores Canada Corporation",1,"RETAIL","",""
"NIKE Retail Portugal",1,"RETAIL","",""
"Coach Leatherware India Private",1,"RETAIL","",""
"NIKE Retail Denmark",1,"RETAIL","",""
"Swarovski Malaysia",1,"JEWELRY_WATCHES","",""
"Michael Kors (Bucharest Stores)",1,"RETAIL","",""
"Parco",1,"RETAIL","",""
"DRESCO",1,"RETAIL","",""
"Versace España, S.A.U., Sucursal em Portugal",1,"RETAIL","",""
"Mango Deutschland GMBH",1,"FASHION","",""
"Michael Kors (HongKong)",1,"RETAIL","",""
"Michael Kors (Ireland)",1,"RETAIL","",""
"Swarovski Servicios, S.A. de CV",1,"JEWELRY_WATCHES","",""
"Michael Kors (Sweden)",1,"RETAIL","",""
"SEKI ARTISANAL",1,"FASHION","",""
"LOG XL",1,"RETAIL","",""
"Swarovski Crystal Comp.Lt",1,"JEWELRY_WATCHES","",""
"Michael Kors Yuhanhoe",1,"RETAIL","",""
"Interculture Total Media Service",1,"RETAIL","",""
"Condé Nast Digital Taiwan",1,"RETAIL","",""
"CPK Swatch Group",1,"JEWELRY_WATCHES","",""
"Conde Nast de México, S.A. de C.V.",1,"RETAIL","",""
