nom	site	bucket	detail
serge pariente	https://www.sergepariente.com/	net-error	ENOTFOUND
stefeno hats	https://stefenohats.com/	net-error	ENOTFOUND
thompson tee	https://thompsontee.com/	net-error	ENOTFOUND
seen	https://helloseen.com/index.html	net-error	ENOTFOUND
pixie	https://itspixie.com/	net-error	ENOTFOUND
solerebels	https://www.solerebels.com/	net-error	ENOTFOUND
titan tallow	https://titantallow.com/	net-error	ENOTFOUND
masala tee	http://www.masalateeboutique.com/	alive	200
sashapure	https://sashapurebeauty.com/	net-error	ENOTFOUND
natventure	https://natventure-store.com/	net-error	ENOTFOUND
ripley s.a.	http://www.ripley.com/	net-error	ENOTFOUND
salzen	https://www.salzen.com/	net-error	ENOTFOUND
scent fill	https://scentfill.com/	alive	200
petra design	https://www.petra.design/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
scofieldtacoma	https://www.etsy.com/shop/scofieldtacoma	blocked	403
sinar (clothing)	http://sinar.ru/	alive	200
studs	https://studs.com/	net-error	ENOTFOUND
studio ar	https://studio-ar.nl/	net-error	ENOTFOUND
vintique custom design	https://www.vintiquecustomdesign.com/	net-error	ENOTFOUND
organique by himalaya	http://himalayausa.com/	alive	200
purifect by symphony beauty	http://www.symphonybeauty.com/	alive	200
sheertex	https://www.sheertex.com/	net-error	ENOTFOUND
sofie schnoor	https://www.sofieschnoor.com/	net-error	ENOTFOUND
soapymania  inc.	http://soapymania.com/	alive	200
simplified skin	https://simplifiedskin.com/	alive	200
quotrell	https://quotrell.com/	net-error	ENOTFOUND
three graces	https://threegraceslondon.com/	alive	200
siglo xxi	https://www.joyeriasigloxxi.com/	alive	200
sistine	https://sistinesistine.com/	net-error	ENOTFOUND
sister	https://sisterthebrand.com/	net-error	ENOTFOUND
recover brands	https://recoverbrands.com/	alive	200
sprinter	https://www.sprintersports.com/	net-error	ENOTFOUND
recycledbags.co	https://www.recycledbags.co/	net-error	ENOTFOUND
siawear	https://siawear.com/	net-error	ENOTFOUND
polly wales	https://pollywales.com/	net-error	ENOTFOUND
sydney evan	https://sydneyevan.com/	net-error	ENOTFOUND
tervolina	https://tervolina.ru/	alive	200
tanuki denim	https://www.tanukijapan.com/	net-error	ENOTFOUND
saint laurent	https://www.ysl.com/	blocked	403
saki sweden	https://www.saki.se/	net-error	ENOTFOUND
t.h. baker	https://www.thbaker.co.uk/	net-error	ENOTFOUND
oky	https://us.okyofficial.com/	http-dead	404
the andamane	https://theandamane.com/	alive	200
tutu du monde	https://tutudumonde.me.uk/	net-error	ENOTFOUND
salt way botanicals	https://www.salt-way.com/	net-error	ENOTFOUND
scarpe&scarpe	https://scarpescarpe.it/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
scrubs & beyond	https://www.scrubsandbeyond.com/	net-error	ENOTFOUND
piʻi botanicals	http://piibotanicals.com/	net-error	ENOTFOUND
story mfg.	https://www.storymfg.com/	net-error	ENOTFOUND
shaina mote	https://shainamote.com/	net-error	ENOTFOUND
the library	https://www.the-lib.jp/brands/brands-women/brands-women-thelibrary/?sz=12%3Futm_source%3DGoodOnYou+App	net-error	ENOTFOUND
studio italy	https://www.studioitaly.de/	http-dead	404
south beach	https://www.southbeachofficial.com/	alive	200
tales of anyday	https://talesofanyday.com/	net-error	ENOTFOUND
semsons tech	https://www.semsonstech.com/	net-error	ENOTFOUND
prai beauty llc	http://www.praibeauty.com/	alive	200
sarvin	https://sarvin.co.uk/	alive	200
outhorn	https://us.outhorn.com/	alive	200
thinx	https://www.shethinx.com/	blocked	403
peppercorn	https://peppercorn-fashion.com/	net-error	ECONNREFUSED
rag & bone	https://www.rag-bone.com/	net-error	ENOTFOUND
rentrayage	https://rentrayage.com/	net-error	ENOTFOUND
tread & butter	https://treadandbutter.com/	http-dead	423
paddock's	https://www.paddocks-jeans.de/	http-dead	400
sleevey wonders	https://sleeveywonders.com/	alive	200
rototo	https://www.rototo.jp/collections/all	alive	200
ragyard	https://www.ragyard.com/	alive	200
saola shoes	https://www.saolashoes.com/	alive	200
satori wheels	https://www.satoriwheels.org/	http-dead	404
shakti.ism	https://shaktiism.com/	alive	200
solidus	https://www.solidus.info/	alive	200
philipp plein	https://www.plein.com/	net-error	redirect count exceeded
the ethical silk company	https://www.theethicalsilkco.com/?oid=136&affid=1&source_id=GoY-rating&sub1=brandpage	net-error	ENOTFOUND
sunski	https://www.sunski.com/	alive	200
schmidt's	http://schmidts.com/	net-error	ENOTFOUND
sproet & sprout	https://sproet-sprout.com/nl/	http-dead	404
target corporation	https://www.target.com/	alive	200
tendance parfums	https://www.tendance-parfums.com/	alive	200
schneiders	https://www.schneiders.com/	net-error	ENOTFOUND
skall studio	https://skallstudio.com/	alive	200
